column1,column2,column3,column4,column5,column6
076872,65287.63,0.0,5617.51,21120.08,38550.04
181803,60349.17,5842.51,7235.43,19579.43,39376.82
066681,46677.36,650.0,0.0,21678.92,25648.44
140333,44618.98,0.0,0.0,13108.66,31510.32
074527,43472.85,0.0,6851.78,3002.29,33618.78
246239,43406.52,0.0,3734.79,12832.25,26839.48
139912,43301.59,6315.95,0.0,13706.64,35910.9
193861,43158.16,0.0,3713.44,3312.89,36131.83
082350,42581.4,0.0,3485.99,12104.21,26991.2
075108,42393.35,0.0,3450.06,11998.11,26945.18
001201,40830.02,0.0,3343.43,11429.2,26057.39
059170,40394.88,2898.79,0.0,13665.07,29628.6
004456,40262.73,0.0,3281.91,11354.06,25626.76
192546,39788.57,0.0,3423.51,11659.21,24705.85
112101,39214.64,0.0,0.0,11937.41,27277.23
050598,39054.25,3530.69,0.0,14043.19,28541.75
051403,37717.08,3026.33,0.0,13027.27,27716.14
217247,36478.18,0.0,0.0,11885.59,24592.59
295636,36233.31,0.0,0.0,18167.67,18065.64
074322,36107.92,3005.21,0.0,12611.93,26501.2
112054,35768.19,0.0,0.0,11512.08,24256.11
054208,35691.04,2122.07,0.0,11453.58,26359.53
054160,35506.94,0.0,0.0,11489.2,24017.74
253561,35243.25,0.0,0.0,10360.85,24882.4
001112,35154.32,3233.12,3010.84,11791.06,23585.54
041785,35055.81,3856.14,0.0,13276.11,25635.84
019976,34058.55,2557.19,2188.56,10917.02,23510.16
053252,34016.26,2775.13,0.0,11764.81,25026.58
041602,33880.47,0.0,0.0,10254.21,23626.26
040118,33851.03,0.0,0.0,10243.76,23607.27
112453,33766.49,0.0,0.0,9981.07,23785.42
067369,33723.74,0.0,0.0,11022.51,22701.23
240648,33609.34,6684.55,0.0,12290.73,28003.16
054453,33398.59,3109.96,0.0,11990.66,24517.89
004502,33396.99,0.0,2696.27,9649.79,21050.93
089575,33316.44,0.0,2598.33,8975.95,21742.16
069183,33129.05,0.0,0.0,11545.75,21583.3
066761,32995.76,0.0,0.0,10467.57,22528.19
049280,32568.25,0.0,0.0,10312.3,22255.95
082112,32486.81,3573.55,0.0,12287.8,23772.56
041289,32480.57,3572.86,0.0,12233.13,23820.3
090964,32480.57,3572.86,0.0,12285.27,23768.16
046191,32443.92,0.0,0.0,2542.81,29901.11
055107,32441.65,3254.41,0.0,11793.94,23902.12
041696,32221.78,3471.04,0.0,11910.39,23782.43
288213,32157.54,373.06,0.0,9252.58,23278.02
041009,32110.51,0.0,0.0,9574.18,22536.33
060429,31979.35,3217.74,2727.16,10977.77,21492.16
072541,31940.21,0.0,2736.06,8254.99,20949.16
037541,31936.15,0.0,0.0,2486.95,29449.2
046981,31877.34,0.0,0.0,9543.59,22333.75
040436,31777.07,0.0,0.0,9508.03,22269.04
066893,31615.81,3059.18,0.0,11440.38,23234.61
046345,31585.81,3474.44,0.0,11922.9,23137.35
036188,31554.8,0.0,0.0,2445.0,29109.8
058645,31503.92,2865.97,2698.21,12302.07,19369.61
054551,31445.22,4830.45,0.0,9469.11,26806.56
036790,31348.15,0.0,0.0,2422.27,28925.88
053236,31348.15,3448.3,0.0,11774.5,23021.95
176991,31301.88,0.0,0.0,10114.16,21187.72
043389,31246.83,0.0,0.0,9319.93,21926.9
041513,31119.76,0.0,0.0,10420.84,20698.92
083763,31119.71,0.0,0.0,2397.14,28722.57
304615,31064.8,0.0,0.0,8220.07,22844.73
040037,31026.73,0.0,0.0,9810.24,21216.49
042595,31009.37,0.0,0.0,9235.69,21773.68
047465,30918.96,3401.09,0.0,14032.59,20287.46
047392,30918.93,6492.98,0.0,12043.3,25368.61
037052,30774.34,3288.86,0.0,11428.28,22634.92
036510,30681.3,3374.94,0.0,16890.28,17165.96
038113,30681.3,3374.94,0.0,11556.57,22499.67
040860,30681.3,3374.94,0.0,11556.57,22499.67
042048,30681.3,3374.94,0.0,11504.43,22551.81
042781,30681.3,0.0,0.0,9119.3,21562.0
043788,30681.3,0.0,0.0,9119.3,21562.0
044547,30681.3,3374.94,0.0,11556.57,22499.67
046663,30681.3,0.0,0.0,9642.9,21038.4
048925,30681.3,3374.94,0.0,11556.57,22499.67
057444,30681.3,0.0,0.0,9680.8,21000.5
060623,30681.3,3374.94,0.0,11556.57,22499.67
067491,30681.3,0.0,0.0,2348.92,28332.38
110515,30681.3,3374.94,0.0,11504.43,22551.81
098205,30426.87,0.0,0.0,2320.93,28105.94
042714,30381.89,3342.01,0.0,11383.17,22340.73
037265,30275.85,0.0,0.0,2304.32,27971.53
042960,30275.85,0.0,0.0,9580.99,20694.86
036854,30252.39,3327.76,0.0,11330.72,22249.43
039446,30252.39,0.0,0.0,8967.15,21285.24
050229,30252.39,3327.76,0.0,11382.86,22197.29
055140,30231.88,3325.51,0.0,11374.56,22182.83
037940,30160.55,0.0,0.0,2291.64,27868.91
041327,30160.55,0.0,0.0,8934.57,21225.98
041793,30160.53,0.0,0.0,8882.43,21278.1
036455,30054.1,0.0,0.0,8896.8,21157.3
046469,30051.16,0.0,0.0,9496.78,20554.38
073806,30025.24,0.0,0.0,9880.37,20144.87
087581,29967.19,0.0,0.0,10308.7,19658.49
053147,29932.01,0.0,0.0,14487.56,15444.45
039381,29898.69,0.0,0.0,14823.0,15075.69
043800,29898.69,3288.86,0.0,11239.61,21947.94
044334,29898.69,3288.86,0.0,11187.47,22000.08
083372,29898.69,0.0,0.0,8841.67,21057.02
038458,29824.51,3183.89,0.0,11095.16,21913.24
045373,29802.28,0.0,0.0,8755.33,21046.95
043851,29775.46,3275.3,0.0,11189.7,21861.06
037494,29715.05,3268.66,0.0,11113.1,21870.61
042404,29715.05,3268.66,0.0,11008.83,21974.88
047325,29715.05,0.0,0.0,9370.82,20344.23
045144,29703.63,0.0,0.0,8772.48,20931.15
063941,29632.84,2734.28,0.0,10458.95,21908.17
065820,29595.42,2656.6,2588.38,9697.2,19966.44
035858,29585.55,3254.41,0.0,11008.51,21831.45
041572,29585.55,0.0,0.0,8730.59,20854.96
041866,29585.55,0.0,0.0,9322.3,20263.25
043532,29585.55,3254.41,0.0,11112.79,21727.17
046434,29585.55,0.0,0.0,8730.59,20854.96
047376,29585.55,3254.41,0.0,11060.65,21779.31
051560,29585.55,3254.41,0.0,11112.79,21727.17
053121,29585.55,3254.41,0.0,11060.65,21779.31
055506,29585.55,3254.41,0.0,11008.51,21831.45
057282,29585.55,3904.41,0.0,11008.51,22481.45
064521,29585.55,0.0,0.0,8678.45,20907.1
069167,29585.55,0.0,0.0,8730.59,20854.96
042625,29565.28,0.0,0.0,8723.4,20841.88
044504,29565.28,3252.18,0.0,11052.44,21765.02
036374,29559.72,0.0,0.0,2816.74,26742.98
051357,29541.77,0.0,0.0,9238.65,20303.12
041181,29415.55,0.0,0.0,2798.0,26617.55
047538,29415.55,0.0,0.0,8670.28,20745.27
038725,29387.26,0.0,0.0,11840.58,17546.68
041165,29316.92,3155.71,0.0,10922.27,21550.36
038041,29316.34,0.0,0.0,9221.41,20094.93
038687,29316.34,0.0,0.0,7622.28,21694.06
045845,29316.34,0.0,0.0,8635.08,20681.26
035581,29303.83,0.0,0.0,9164.59,20139.24
040347,29283.65,0.0,0.0,9209.16,20074.49
037419,29231.85,3215.5,0.0,16061.01,16386.34
037931,29231.85,0.0,0.0,8605.11,20626.74
038997,29231.85,3215.5,0.0,10969.54,21477.81
041084,29231.85,3215.5,0.0,10969.54,21477.81
046388,29231.85,0.0,0.0,9189.75,20042.1
047058,29231.85,3215.5,0.0,10917.4,21529.95
042609,29156.8,0.0,0.0,8578.49,20578.31
044580,29156.63,0.0,0.0,8164.33,20992.3
045179,29156.63,0.0,0.0,9161.56,19995.07
046370,29156.63,0.0,0.0,2764.33,26392.3
061280,29156.63,3207.23,0.0,10886.94,21476.92
143405,29156.63,0.0,0.0,10057.09,19099.54
040185,29108.22,0.0,0.0,8561.25,20546.97
055212,29080.37,3198.84,0.0,10908.19,21371.02
047261,29026.49,3192.91,0.0,10834.23,21385.17
041394,28982.93,3188.12,0.0,10868.73,21302.32
036579,28854.7,3174.02,0.0,10816.79,21211.93
039560,28854.7,3174.02,0.0,10764.66,21264.06
